sample_id,se1_date,village,zone,tapstand_code,se1_time,se1_frc,se1_trc,se1_turb,se1_airtemp,se1_wattemp,se1_cond,se1_ph,se1_orp,resp_consent,sa_cont,sa_cover,sa_clean,sa_opacity,sa_colour,se2_time,se2_frc,se2_trc,se2_turb,se2_wattemp,se2_cond,se2_ph,se2_orp,hh_steps,hh_minutes,se3_time,se3_frc,se3_trc,se3_turb,se3_wattemp,se3_cond,se3_ph,se3_orp,se4_time,se4_date,timelapse4,se4_frc,se4_trc,se4_turb,se4_airtemp,se4_wattemp,se4_cond,se4_ph,se4_orp,sb_watertransfer,sb_watermix,sb_waterused,sb_waterleft,sb_drawing,sb_cont,sb_cover,sb_clean,sb_opacity,sb_colour,sb_inout,sb_sunshade,,,,,,,,,,,
1,7/13/14,3,11,2,8:35,1.01,1.06,2.00,26.1,26.3,854,,,1,1,1,1,1,1,8:45,1.02,1.02,2.02,26.6,864,,,116,2.0,8:55,1.24,1.22,1.90,26.6,713,,,15:05,7/13/14,6:30,1.24,1.20,2.77,32.7,27.3,864,,,0,0,0,1.00,1,1,1,1,1,1,,,,,,,,,,,,,
2,7/13/14,3,16,6,9:15,0.94,0.96,5.58,28.3,28.3,1150,,,1,2,1,2,1,1,9:25,1.10,1.10,2.80,28.4,1152,,,125,2.0,8:40,0.92,0.93,2.81,28.9,1159,,,15:30,7/13/14,6:15,0.63,0.61,1.54,30.1,30.2,1159,,,0,0,0,1.00,1,2,1,2,1,1,,,,,,,,,,,,,
3,7/13/14,3,16,6,10:07,1.04,1.06,2.78,33.5,29.4,1153,,,1,2,1,2,1,1,10:22,0.82,0.85,3.34,82.8,573,,,200,2.0,10:49,0.99,1.02,3.48,28.7,574,,,15:55,7/13/14,5:48,0.87,0.92,,29.8,30.4,564,,,0,0,0,0.90,1,2,1,2,1,1,,,,,,,,,,,,,
4,7/13/14,3,16,6,10:05,1.16,1.14,1.94,34.4,29.7,1164,,,1,2,1,2,1,1,10:10,0.99,1.08,2.57,28.7,1155,,,200,2.0,10:35,0.97,0.95,4.45,28.9,1164,,,15:55,7/13/14,5:50,0.57,0.61,,29.8,29.8,978,,,0,0,1,0.75,1,2,1,2,1,1,,,,,,,,,,,,,
5,7/14/14,3,7,1,8:15,3.90,4.10,2.37,23.7,25.9,888,7.66,679,1,1,1,1,1,1,8:45,4.40,4.30,1.94,25.7,853,7.77,678,80,1.0,9:00,3.80,3.80,2.25,26.4,852,7.77,701,15:45,7/14/14,7:30,0.98,1.01,2.03,33.5,33.0,864,7.63,619,0,0,1,0.60,1,1,1,1,1,1,,,,,,,,,,,,,
6,7/14/14,3,7,1,8:18,4.50,4.50,3.77,24.5,24.8,1782,7.46,731,1,2,1,2,1,1,8:50,4.10,4.00,4.64,25.3,1686,7.44,751,75,1.0,9:08,2.80,2.90,5.33,25.6,1773,7.41,756,16:00,7/14/14,7:42,2.70,2.70,4.15,28.1,28.5,1069,7.46,683,0,0,0,1.00,1,2,1,2,1,1,,,,,,,,,,,,,
7,7/14/14,6,6,J8/6,8:46,1.84,1.90,3.43,29.2,26.7,553,7.85,632,1,1,1,1,1,1,8:50,1.26,1.28,,26.7,554,7.85,596,95,1.0,10:05,1.66,1.68,1.90,27.5,556,7.79,645,15:05,7/14/14,6:19,1.42,1.42,1.60,30.5,28.2,555,7.69,633,0,0,0,0.90,1,1,1,1,1,1,,,,,,,,,,,,,
8,7/14/14,6,1,7,9:30,1.98,2.02,0.88,22.9,26.0,1137,7.48,714,1,2,1,2,1,1,9:35,1.16,1.12,7.10,26.2,1141,7.55,721,48,1.0,10:15,1.01,0.97,5.42,28.0,1239,7.55,681,15:40,7/14/14,6:10,0.89,0.91,5.77,29.6,29.8,1153,7.60,558,0,0,0,1.00,1,2,1,2,1,1,,,,,,,,,,,,,
9,7/14/14,6,6,J8/6,10:30,1.40,1.48,1.86,26.9,26.7,364,7.73,622,1,2,1,2,1,1,10:45,1.56,1.54,1.99,27.4,565,7.66,613,155,2.0,11:00,1.40,1.44,2.02,27.0,613,7.70,595,15:20,7/14/14,4:50,0.77,0.70,1.53,31.0,29.5,572,7.72,567,0,0,1,0.10,1,2,1,2,1,1,,,,,,,,,,,,,
10,7/14/14,6,6,J8/6,10:30,1.46,1.44,1.68,25.1,26.9,1139,7.38,750,1,1,0,1,1,1,10:45,1.90,1.90,2.46,26.6,1144,7.49,770,230,2.0,11:05,1.40,1.34,1.21,27.0,1148,6.33,727,15:10,7/14/14,4:40,0.84,0.92,3.02,31.8,29.9,1157,7.44,662,0,0,1,0.50,1,1,0,1,1,1,,,,,,,,,,,,,
11,7/15/14,6,2,J7/6,8:25,1.00,0.99,1.31,23.3,25.2,,7.71,605,1,1,1,1,1,1,8:45,1.04,1.06,3.08,26.5,,7.66,619,147,2.0,9:05,0.92,0.95,3.01,26.5,,7.63,635,15:10,7/15/14,6:45,0.11,0.13,2.72,31.5,37.5,1045,7.49,310,0,0,0,1.00,1,1,1,1,1,1,,,,,,,,,,,,,
12,7/15/14,6,2,J7/6,8:23,1.02,1.00,1.46,24.1,25.5,1029,6.24,651,1,2,1,2,1,1,9:01,0.72,0.75,3.38,26.1,1037,7.08,694,125,1.0,9:10,0.79,0.80,4.45,26.5,1041,7.10,720,15:15,7/15/14,6:52,0.74,0.72,1.94,27.8,29.0,1048,7.14,617,1,0,1,,1,2,1,1,1,1,,,,,,,,,,,,,
13,7/15/14,6,2,J7/6,9:20,1.54,1.54,1.43,24.8,26.1,,7.68,671,1,1,1,1,1,1,9:35,1.44,1.44,1.48,26.2,,7.68,680,215,3.0,9:50,,,2.75,27.8,,7.65,654,15:30,7/15/14,6:10,1.08,1.06,1.81,31.5,29.2,1030,7.76,556,0,0,0,1.00,1,1,1,1,1,1,,,,,,,,,,,,,
14,7/15/14,6,2,J7/6,9:23,1.28,1.22,1.67,24.6,26.7,1054,7.35,752,1,1,1,1,1,1,9:35,0.71,0.69,2.37,26.9,1039,7.56,758,119,1.0,9:45,0.74,0.73,2.12,27.3,1038,7.54,719,15:30,7/15/14,6:07,0.59,0.57,1.91,28.7,28.9,915,7.64,658,0,0,0,1.00,1,1,1,1,1,1,,,,,,,,,,,,,
15,7/15/14,6,2,J7/6,10:15,1.54,1.50,2.20,29.4,27.2,,7.56,648,1,1,1,1,1,1,10:30,1.32,1.34,1.93,27.3,,7.69,650,75,1.0,10:45,1.12,1.12,1.95,28.6,,7.66,671,16:05,7/15/14,5:50,0.10,0.17,1.64,28.3,32.8,994,7.57,329,0,0,0,1.00,1,1,1,1,1,1,,,,,,,,,,,,,
16,7/15/14,6,2,J7/6,10:09,0.96,0.97,0.98,28.1,27.0,1039,7.35,753,1,2,1,2,1,1,10:20,1.12,0.99,1.75,27.2,1042,7.35,725,179,3.0,10:40,0.79,0.74,2.57,26.5,1044,7.37,724,16:40,7/15/14,6:31,0.27,0.28,0.68,29.3,28.4,1043,7.49,704,0,0,0,1.00,1,2,1,2,1,1,,,,,,,,,,,,,
17,7/16/14,6,5,J7/5,8:10,0.86,0.86,1.80,21.8,25.0,955,7.52,616,1,3,0,1,,,8:25,0.90,0.90,0.13,26.5,962,7.59,667,70,1.0,8:40,0.94,0.95,1.31,26.6,954,7.64,695,15:05,7/16/14,6:55,0.75,0.76,1.68,36.8,30.9,967,7.64,617,0,0,0,1.00,1,3,0,1,,,,,,,,,,,,,,,
18,7/16/14,6,5,J7/5,8:10,0.93,0.90,1.07,20.7,25.8,931,7.75,588,1,2,1,2,1,1,8:29,1.08,1.10,1.58,26.5,931,7.68,589,200,3.0,8:35,0.94,0.96,2.45,26.6,918,7.67,585,15:00,7/16/14,6:50,0.46,0.48,1.48,32.4,29.0,933,7.58,511,0,0,0,1.00,1,2,1,2,1,1,,,,,,,,,,,,,
19,7/16/14,6,5,J7/5,8:55,1.04,0.98,0.86,22.3,26.4,957,7.48,667,1,2,1,1,1,1,9:10,0.64,0.66,1.42,26.9,954,7.44,659,225,3.0,9:25,0.89,0.87,2.25,26.4,958,7.43,683,15:25,7/16/14,6:30,0.70,0.73,1.04,29.0,27.5,779,7.46,607,0,0,0,1.00,1,2,1,1,1,1,,,,,,,,,,,,,
20,7/16/14,6,5,J7/5,9:00,0.87,0.92,2.05,26.7,26.7,921,7.69,621,1,1,1,1,1,1,9:20,0.65,0.66,1.39,26.6,922,8.87,619,200,2.0,9:42,0.75,0.83,9.50,27.1,925,7.88,495,15:25,7/16/14,6:25,0.60,0.56,2.14,29.3,29.2,842,7.60,546,0,0,0,1.00,1,1,1,1,1,1,,,,,,,,,,,,,
21,7/16/14,6,5,J7/5,9:30,0.94,0.98,1.73,26.6,26.3,715,7.45,766,1,2,1,2,1,1,10:00,0.91,0.92,1.43,26.9,713,7.30,767,55,1.0,10:15,0.88,0.87,1.53,26.6,718,7.46,742,16:00,7/16/14,6:30,0.71,0.73,1.67,31.0,28.1,724,7.40,632,0,0,0,1.00,1,2,1,2,1,1,,,,,,,,,,,,,
22,7/16/14,6,5,J7/5,10:00,1.06,1.01,7.75,25.1,26.5,692,7.66,548,1,2,1,2,1,1,10:15,0.75,0.77,1.95,26.2,696,7.67,644,45,0.5,10:30,0.83,0.80,2.06,25.9,695,7.66,620,15:43,7/16/14,5:43,0.78,0.79,2.04,28.4,29.1,698,7.58,605,0,0,0,1.00,1,2,1,2,1,1,,,,,,,,,,,,,
23,7/16/14,6,5,J7/5,10:35,0.99,1.02,2.03,26.2,26.2,709,7.38,638,1,1,1,1,1,1,10:45,0.83,0.85,1.45,26.5,503,7.26,769,240,3.0,10:55,0.92,0.91,1.48,26.2,719,7.33,745,15:40,7/16/14,5:05,0.77,0.78,1.76,29.4,29.0,720,7.19,677,0,0,0,1.00,1,1,1,1,1,1,,,,,,,,,,,,,
24,7/17/14,3,12,5,8:10,0.66,0.69,1.11,22.2,25.6,661,7.55,562,1,1,1,2,1,1,8:25,0.65,0.63,1.87,25.3,680,7.55,598,230,3.0,8:40,0.57,0.61,2.18,24.7,666,7.66,610,15:15,7/17/14,7:05,0.52,0.53,1.62,33.2,28.2,662,7.66,482,0,0,0,1.00,1,1,1,2,1,1,,,,,,,,,,,,,
25,7/17/14,3,12,5,8:11,0.79,0.78,1.62,21.3,25.2,680,7.28,586,1,2,1,1,1,1,8:30,0.47,0.47,3.10,25.2,682,7.41,632,260,3.0,8:45,0.43,0.36,1.62,25.8,686,7.34,635,15:30,7/17/14,7:19,0.44,0.50,2.30,32.3,30.1,607,7.38,595,0,0,0,1.00,1,2,1,1,1,1,,,,,,,,,,,,,
26,7/17/14,3,12,5,9:10,0.78,0.79,2.56,26.9,26.5,663,7.49,562,1,2,1,1,1,1,9:30,0.63,0.67,2.73,26.1,662,7.60,607,110,3.0,9:40,0.58,0.64,2.72,26.3,666,7.51,616,15:30,7/17/14,6:20,0.06,0.06,1.58,32.2,32.4,682,7.59,315,0,0,0,1.00,1,2,1,1,1,1,0,0,,,,,,,,,,,
27,7/17/14,3,12,5,9:15,0.71,0.74,0.02,22.9,25.6,680,7.28,673,1,2,1,2,1,1,9:30,0.56,0.57,1.92,26.1,686,7.25,642,222,2.0,9:40,0.63,0.61,3.20,27.0,688,7.25,642,15:35,7/17/14,6:20,0.27,0.32,3.38,39.2,29.3,703,7.33,488,0,0,0,1.00,1,2,1,2,1,1,,,,,,,,,,,,,
28,7/17/14,3,12,5,9:55,0.67,0.70,1.97,26.5,26.7,660,7.50,636,1,1,1,1,1,1,10:05,0.86,0.88,2.22,26.6,664,7.51,633,110,2.0,10:15,0.75,0.75,3.03,26.2,662,7.59,660,15:55,7/17/14,6:00,0.63,0.65,2.12,30.5,29.8,628,7.63,568,0,0,0,1.00,1,1,1,1,1,1,,,,,,,,,,,,,
29,7/17/14,3,12,5,10:10,0.71,0.76,1.40,25.3,25.9,690,7.30,679,1,2,1,1,1,1,10:20,0.73,0.74,4.58,26.5,687,7.87,673,156,2.0,10:35,0.65,0.66,1.47,27.5,680,7.47,617,15:55,7/17/14,5:45,0.32,0.41,2.06,30.6,29.6,690,7.28,522,0,0,0,1.00,1,2,1,1,1,1,,,,,,,,,,,,,
