sample_id,se1_date,village,zone,tapstand_code,se1_time,se1_frc,se1_trc,se1_turb,se1_airtemp,se1_wattemp,se1_cond,se1_ph,resp_consent,sa_cont,sa_cover,sa_clean,sa_opacity,sa_colour,se2_time,se2_frc,se2_trc,se2_turb,se2_wattemp,se2_cond,se2_ph,hh_steps,hh_minutes,se3_time,se3_frc,se3_trc,se3_turb,se3_wattemp,se3_cond,se3_ph,se4_time,se4_date,timelapse4,se4_frc,se4_trc,se4_turb,se4_airtemp,se4_wattemp,se4_cond,se4_ph,sb_watertransfer,sb_watermix,sb_waterused,sb_waterleft,sb_drawing,sb_cont,sb_cover,sb_clean,sb_opacity,sb_colour,sb_inout,sb_sunshade,,,,,,,,,,,,,,,
4,3/17/15,3,11,2,3/17/15 13:20,0.61,0.62,0.82,24.1,21.1,979,7.31,1,3,1,2,1,1,3/17/15 13:35,0.54,0.54,1.18,21.3,994,7.22,145,2.0,3/17/15 13:50,0.52,0.50,1.19,22.2,994,7.04,3/18/15 10:10,3/18/15,20:50,0.51,0.50,0.92,24.9,16.1,809,7.41,0,0,1,0.90,1,3,1,2,1,1,1,1,,,,,,,,,,,,,,,
5,3/17/15,3,11,2,3/17/15 14:05,0.89,0.84,1.10,22.8,22.2,1017,7.10,1,2,1,1,1,1,3/17/15 14:15,0.59,0.63,1.44,22.2,1003,7.08,115,2.0,3/17/15 14:25,0.48,0.46,1.29,20.7,998,7.04,3/18/15 10:25,3/18/15,20:20,0.50,0.51,1.60,22.6,18.4,950,7.18,0,0,1,0.80,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,
6,3/17/15,3,11,2,3/17/15 14:35,0.89,0.85,1.17,20.1,20.9,1015,7.01,1,1,1,1,1,1,3/17/15 14:45,0.80,0.79,1.45,20.8,982,7.03,105,2.0,3/17/15 14:55,0.75,0.62,1.21,20.8,982,7.07,3/18/15 10:40,3/18/15,20:05,0.45,0.45,1.27,22.7,16.9,971,7.46,0,0,1,0.40,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
10,3/18/15,3,12,5,8:05,0.74,0.75,0.61,15.8,19.1,704,7.57,1,1,1,1,1,1,8:15,0.66,0.66,1.20,19.5,700,7.41,125,2.0,8:25,0.47,0.44,1.10,19.4,707,7.24,15:00,3/18/15,6:55,0.46,0.44,1.16,23.2,21.3,714,7.56,0,0,0,0.95,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
11,3/18/15,3,12,5,8:45,0.65,0.68,0.95,18.9,21.0,706,7.22,1,1,1,1,1,1,9:00,0.65,0.63,1.13,19.9,709,7.24,80,1.0,9:10,0.58,0.57,0.88,21.1,719,7.06,15:35,3/18/15,6:50,0.51,0.49,0.79,22.9,21.4,709,7.42,0,0,1,0.30,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
12,3/18/15,3,12,5,9:25,0.68,0.70,0.84,19.4,20.8,705,7.14,1,1,1,1,1,1,9:35,0.63,0.65,0.88,20.9,724,7.06,170,3.0,9:45,0.64,0.62,0.78,20.5,710,7.17,15:20,3/18/15,5:55,0.63,0.62,0.80,24.1,22.4,711,7.44,0,0,1,0.90,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
17,3/19/15,3,10,8,8:25,0.67,0.70,0.76,14.8,18.5,963,7.52,1,1,1,1,1,1,8:35,0.48,0.48,0.74,19.0,950,7.55,90,1.0,8:45,0.56,0.58,0.58,19.2,953,7.38,16:15,3/19/15,7:50,0.58,0.58,0.60,18.9,19.7,999,7.68,0,0,1,0.60,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
18,3/19/15,3,10,8,9:05,0.74,0.76,0.66,15.1,19.2,947,7.35,1,1,1,1,1,1,9:15,0.67,0.64,1.19,19.7,964,7.34,120,2.0,9:25,0.54,0.53,0.94,20.1,951,7.31,16:25,3/19/15,7:20,0.60,0.60,1.56,14.5,17.0,979,7.77,0,0,1,0.70,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
19,3/19/15,3,10,8,9:45,0.81,0.80,0.64,18.8,20.2,949,7.30,1,1,1,1,1,1,9:55,0.55,0.57,0.69,19.1,,7.45,170,3.0,10:05,0.44,0.41,0.82,20.7,,7.34,15:40,3/19/15,5:55,0.40,0.40,0.84,18.7,19.7,983,7.39,0,0,0,0.95,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,
20,3/19/15,3,10,8,10:15,0.76,0.74,0.55,21.2,20.7,956,7.31,1,1,0,1,1,1,10:20,0.54,0.57,0.54,20.9,970,7.48,80,1.0,10:30,0.52,0.51,0.41,20.4,959,7.37,15:55,3/19/15,5:40,0.54,0.54,0.99,18.2,19.4,1000,7.63,0,0,1,0.90,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,
24,3/22/15,3,15,3,8:25,0.73,0.71,0.50,12.0,16.5,940,6.95,1,1,1,1,1,1,8:35,0.73,0.70,0.83,16.6,945,7.40,120,2.0,8:45,0.61,0.62,0.99,17.6,930,7.08,15:25,3/22/15,7:00,0.48,0.49,0.40,14.5,16.0,889,7.13,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
25,3/22/15,3,15,3,9:00,0.70,0.72,0.78,16.7,17.0,925,7.12,1,1,1,1,1,1,9:10,0.62,0.61,1.12,17.4,830,7.00,140,2.5,9:20,0.63,0.63,0.92,16.8,834,7.04,15:15,3/22/15,6:15,0.52,0.50,1.21,16.7,17.5,874,6.60,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
