sample_id,se1_date,village,zone,tapstand_code,se1_time,se1_frc,se1_trc,se1_turb,se1_airtemp,se1_wattemp,se1_cond,se1_ph,se1_orp,resp_consent,sa_tap,sa_cont,sa_cover,sa_clean,sa_opacity,sa_colour,se2_time,se2_frc,se2_trc,se2_turb,se2_wattemp,se2_cond,se2_ph,se2_orp,hh_steps,hh_minutes,se3_time,se3_frc,se3_trc,se3_turb,se3_wattemp,se3_cond,se3_ph,se3_orp,se4_time,se4_date,timelapse4,se4_frc,se4_trc,se4_turb,se4_airtemp,se4_wattemp,se4_cond,se4_ph,se4_orp,se5_time,se5_date,timelapse5,se5_frc,se5_trc,se5_turb,se5_airtemp,se5_wattemp,se5_cond,se5_ph,se5_orp,sb_watertransfer,sb_watermix,sb_waterused,sb_waterleft,sb_drawing,sb_cont,sb_cover,sb_clean,sb_opacity,sb_colour,sb_inout,sb_sunshade
1,6/23/15,A,Q7V5,W3,6/23/15 8:10,1.08,1.12,0.25,16.7,,,,,Y,P,R,Y,U,Y,Y,6/23/15 8:17,1.12,1.23,0.22,,,,,730,8.0,6/23/15 8:40,1.14,1.19,0.25,,,,,6/23/15 12:10,6/23/15,4:00,1.10,1.06,0.01,19.1,,,,,6/23/15 15:12,6/23/15,7:02,1.06,0.97,0.01,23.2,,,,,N,N,N,100%,P,R,Y,U,Y,Y,I,N
2,6/23/15,A,Q7V5,W3,6/23/15 9:02,1.02,1.10,0.21,18.6,,,,,Y,P,R,N,U,Y,Y,6/23/15 9:10,1.05,1.13,0.33,,,,,0,0.0,6/23/15 9:18,1.04,1.10,0.33,,,,,6/23/15 11:33,6/23/15,2:31,1.02,1.06,0.01,19.5,,,,,6/23/15 14:31,6/23/15,5:29,1.00,0.99,0.01,21.6,,,,,N,N,Y,30%,P,R,N,U,Y,Y,I,N
3,6/23/15,A,Q7V5,W3,6/23/15 9:30,1.12,1.52,0.29,22.8,,,,,Y,P,R,N,D,Y,Y,6/23/15 9:40,1.05,1.06,3.44,,,,,110,2.0,6/23/15 9:58,1.02,1.10,3.59,,,,,6/23/15 11:47,6/23/15,2:17,0.94,0.95,2.99,18.6,,,,,6/23/15 14:45,6/23/15,5:15,0.87,0.92,3.42,22.3,,,,,N,N,Y,75%,P,R,N,C,Y,Y,I,N
4,6/23/15,B,Q3V1,W40,6/23/15 7:38,0.80,0.84,0.03,13.3,,,,,Y,T,R,N,D,Y,Y,6/23/15 7:51,0.88,0.93,0.01,,,,,67,1.0,6/23/15 7:58,0.88,0.87,0.01,,,,,6/23/15 14:38,6/23/15,7:00,0.79,0.84,0.01,21.8,,,,,6/23/15 15:12,6/23/15,7:34,0.76,0.82,0.01,21.7,,,,,N,N,Y,4%,P,R,N,U,Y,Y,I,N
5,6/23/15,B,Q3V1,W40,6/23/15 8:09,0.89,0.91,0.01,20.1,,,,,Y,T,R,N,U,Y,Y,6/23/15 8:16,0.95,0.99,0.01,,,,,80,1.0,6/23/15 8:27,0.94,0.98,0.01,,,,,6/23/15 14:23,6/23/15,6:14,0.85,0.89,0.62,24.0,,,,,6/23/15 15:07,6/23/15,6:58,0.80,0.85,0.01,21.9,,,,,N,N,Y,10%,P,R,N,U,Y,Y,O,N
6,6/23/15,B,Q3V1,W40,6/23/15 8:40,0.84,0.90,0.01,21.1,,,,,Y,T,R,N,U,Y,Y,6/23/15 8:53,0.83,0.89,0.01,,,,,70,1.0,6/23/15 9:03,0.84,0.94,0.01,,,,,,6/23/15,,,,,,,,,,,6/23/15,,,,,,,,,,,,,,,,,,,,,
7,6/23/15,B,Q3V1,W40,6/23/15 9:18,0.82,0.95,0.01,28.1,,,,,Y,T,R,N,C,Y,Y,6/23/15 9:23,0.88,0.93,0.01,,,,,127,2.0,6/23/15 9:31,0.90,0.95,0.01,,,,,6/23/15 14:13,6/23/15,4:55,0.64,0.70,0.42,24.6,,,,,6/23/15 14:43,6/23/15,5:25,0.68,0.68,0.10,21.4,,,,,N,N,Y,3%,P,R,N,U,Y,Y,O,N
8,6/24/15,A,Q7V4,W7,6/24/15 7:44,0.75,0.78,0.01,17.3,,,,,Y,T,R,N,U,Y,Y,6/24/15 7:54,0.81,0.85,0.08,,,,,174,2.5,6/24/15 8:04,0.75,0.81,0.01,,,,,6/24/15 13:43,6/24/15,5:59,0.63,0.67,0.01,25.0,,,,,6/24/15 14:30,6/24/15,6:46,0.70,0.73,0.13,26.6,,,,,N,N,Y,20%,P,R,N,U,Y,Y,I,N
9,6/24/15,A,Q7V4,W7,6/24/15 8:18,0.75,0.79,0.24,21.0,,,,,Y,T,R,Y,C,N,White,6/24/15 8:24,0.75,0.80,0.39,,,,,0,0.0,6/24/15 8:34,0.74,0.79,0.01,,,,,6/24/15 13:17,6/24/15,4:59,0.61,0.72,0.14,22.1,,,,,6/24/15 15:18,6/24/15,7:00,0.55,0.62,0.12,25.3,,,,,N,N,N,100%,P,R,Y,C,N,White,I,N
10,6/24/15,A,Q7V4,W7,6/24/15 8:38,0.80,0.85,0.01,18.0,,,,,Y,T,R,N,U,Y,Y,6/24/15 8:41,0.85,0.87,0.01,,,,,264,4.0,6/24/15 8:55,0.78,0.78,0.01,,,,,6/24/15 13:53,6/24/15,5:15,0.54,0.61,0.06,24.7,,,,,6/24/15 14:45,6/24/15,6:07,0.55,0.59,0.01,25.4,,,,,N,N,Y,2%,P,R,N,U,Y,Y,O,Y
11,6/24/15,A,Q7V4,W7,6/24/15 9:13,0.75,0.83,0.01,20.3,,,,,Y,T,R,N,C,N,White,6/24/15 9:21,0.70,0.77,0.01,,,,,22,0.5,6/24/15 9:32,0.70,0.78,0.01,,,,,6/24/15 13:32,6/24/15,4:19,0.51,0.59,0.01,24.3,,,,,6/24/15 14:58,6/24/15,5:45,0.46,0.57,0.01,24.5,,,,,N,N,Y,8%,P,R,N,C,N,White,I,N
12,6/24/15,A,Q7V4,W7,6/24/15 9:43,0.68,0.76,0.01,23.6,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6/25/15,B,Q1V3,W17,6/25/15 7:43,0.72,0.84,0.22,18.7,,,,,Y,T,R,N,U,Y,Y,6/25/15 7:58,0.75,0.81,0.04,,,,,56,1.0,6/25/15 8:13,0.77,0.80,0.01,,,,,6/25/15 14:25,6/25/15,6:42,0.72,0.78,0.01,26.0,,,,,6/25/15 15:59,6/25/15,8:16,0.72,0.75,0.01,24.6,,,,,N,N,N,100%,P,R,Y,U,Y,Y,I,N
14,6/25/15,B,Q1V3,W17,6/25/15 8:26,0.73,0.80,0.01,19.6,,,,,Y,T,R,N,C,Y,Y,6/25/15 8:32,0.76,0.78,0.01,,,,,76,1.3,6/25/15 8:42,0.60,0.77,0.01,,,,,6/25/15 14:47,6/25/15,6:21,0.61,0.67,0.24,25.4,,,,,6/25/15 15:41,6/25/15,7:15,0.66,0.70,0.08,21.2,,,,,N,N,Y,25%,P,R,N,C,Y,Y,I,N
15,6/25/15,B,Q1V3,W17,6/25/15 8:53,0.70,0.75,0.01,20.5,,,,,Y,T,R,N,U,Y,Y,6/25/15 9:10,0.68,0.76,0.07,,,,,0,0.0,6/25/15 9:15,0.69,0.84,0.01,,,,,6/25/15 13:45,6/25/15,4:52,0.65,0.69,0.01,23.6,,,,,6/25/15 15:05,6/25/15,6:12,0.62,0.67,0.40,31.0,,,,,N,N,Y,80%,P,R,N,U,Y,Y,I,N
16,6/25/15,B,Q1V3,W17,6/25/15 10:01,0.71,0.76,0.01,18.5,,,,,Y,T,Collapsible,N,U,N,White,6/25/15 10:10,0.65,0.69,0.01,,,,,18,0.3,6/25/15 10:15,0.61,0.66,0.01,,,,,6/25/15 13:52,6/25/15,3:51,0.51,0.55,0.01,22.6,,,,,6/25/15 15:22,6/25/15,5:21,0.33,0.37,0.50,28.6,,,,,N,N,Y,1%,P,Collapsible,N,U,N,White,I,N
17,6/25/15,B,Q1V3,W17,6/25/15 10:40,0.75,0.79,0.01,19.5,,,,,Y,T,R,Y,U,Y,Y,6/25/15 10:50,0.73,0.77,0.01,,,,,58,0.9,6/25/15 10:57,0.68,0.80,0.02,,,,,6/25/15 14:05,6/25/15,3:25,0.02,0.10,0.66,25.1,,,,,6/25/15 16:07,6/25/15,5:27,0.04,0.09,0.47,27.1,,,,,N,N,Y,50%,P,Collapsible,N,U,N,White,O,Y
18,6/26/15,A,Q8V2,W11,6/26/15 7:35,0.63,0.68,0.03,18.7,,,,,Y,T,R,N,U,Y,Y,6/26/15 7:50,0.63,0.68,0.13,,,,,26,0.3,6/26/15 8:02,0.62,0.67,0.25,,,,,6/26/15 14:45,6/26/15,7:10,0.52,0.59,0.06,21.6,,,,,6/26/15 15:23,6/26/15,7:48,0.48,0.56,0.01,20.1,,,,,Y,N,N,100%,P,R,Y,U,Y,Y,I,N
19,6/26/15,A,Q8V2,W11,6/26/15 8:16,0.55,0.62,0.01,17.0,,,,,Y,T,Collapsible,N,U,N,White,6/26/15 8:21,0.60,0.62,0.01,,,,,30,0.5,6/26/15 8:34,0.61,0.64,0.01,,,,,6/26/15 14:35,6/26/15,6:19,0.50,0.56,0.01,23.5,,,,,6/26/15 15:10,6/26/15,6:54,0.40,0.48,2.87,21.2,,,,,N,N,Y,50%,P,Collapsible,N,U,N,White,I,N
20,6/26/15,A,Q8V2,W11,6/26/15 8:50,0.59,0.69,0.01,18.2,,,,,Y,T,Bucket,N,U,Y,Green,6/26/15 9:00,0.48,0.56,0.83,,,,,0,0.0,6/26/15 9:10,0.47,0.55,0.61,,,,,6/26/15 14:22,6/26/15,5:32,0.27,0.41,1.07,25.4,,,,,,6/26/15,,,,,,,,,,N,Y,Y,60%,,Bucket,N,U,Y,Green,I,N
21,6/26/15,A,Q8V2,W11,6/26/15 9:31,1.18,1.33,0.01,18.1,,,,,Y,P,R,N,U,Y,Y,6/26/15 9:38,1.25,1.27,0.01,,,,,0,0.0,6/26/15 9:43,1.18,1.18,0.01,,,,,6/26/15 14:05,6/26/15,4:34,1.13,1.22,0.01,21.3,,,,,6/26/15 15:40,6/26/15,6:09,0.88,0.99,0.09,23.1,,,,,Y,N,Y,10%,P,Saucepan,N,U,Y,Black,I,N
22,6/29/15,B,Q4V2,W29,6/29/15 7:43,0.67,0.74,0.55,19.1,,,,,Y,T,R,N,D,Y,Y,6/29/15 7:49,0.71,0.78,0.24,,,,,29,0.3,6/29/15 7:58,0.76,0.80,0.13,,,,,6/29/15 13:50,6/29/15,6:07,0.67,0.71,0.09,24.6,,,,,6/29/15 15:40,6/29/15,7:57,0.68,0.70,0.01,20.0,,,,,N,N,Y,20%,P,R,N,D,Y,Y,I,N
23,6/29/15,B,Q4V2,W29,6/29/15 8:06,0.72,0.76,0.25,20.4,,,,,Y,T,R,N,C,Y,Y,6/29/15 8:13,0.76,0.80,0.01,,,,,50,0.8,6/29/15 8:20,0.62,0.74,0.01,,,,,6/29/15 14:08,6/29/15,6:02,0.63,0.72,0.01,24.0,,,,,6/29/15 15:13,6/29/15,7:07,0.67,0.72,0.01,21.0,,,,,N,,Y,30%,P,R,N,C,Y,Y,I,N
24,6/29/15,B,Q4V2,W29,6/29/15 8:23,0.69,0.73,0.01,21.0,,,,,Y,T,R,Y,U,Y,Y,6/29/15 8:29,0.71,0.76,0.01,,,,,50,0.8,6/29/15 8:35,0.59,0.71,0.14,,,,,6/29/15 14:29,6/29/15,6:06,0.57,0.61,0.01,20.2,,,,,6/29/15 15:20,6/29/15,6:57,0.55,0.58,0.01,19.5,,,,,N,N,Y,45%,P,R,N,U,Y,Y,I,N
25,6/29/15,B,Q4V2,W29,6/29/15 8:40,0.72,0.74,0.01,21.4,,,,,Y,T,R,N,U,Y,Y,6/29/15 8:50,0.69,0.70,0.34,,,,,85,0.8,6/29/15 8:55,0.70,0.75,0.01,,,,,6/29/15 14:20,6/29/15,5:40,0.61,0.73,0.01,24.6,,,,,6/29/15 14:48,6/29/15,6:08,0.65,0.75,0.01,22.7,,,,,N,N,N,100%,P,R,Y,U,Y,Y,I,N
26,6/29/15,B,Q4V2,W29,6/29/15 9:20,0.69,0.74,0.38,21.3,,,,,Y,T,R,N,U,Y,Y,6/29/15 9:30,0.66,0.70,0.41,,,,,52,0.8,6/29/15 9:45,0.66,0.75,0.13,,,,,6/29/15 14:35,6/29/15,5:15,0.61,0.69,0.05,20.9,,,,,6/29/15 15:00,6/29/15,5:40,0.43,0.62,0.68,22.0,,,,,N,N,Y,10%,P,R,N,U,Y,Y,I,N
27,7/2/15,B,Q5V3,W28,7/2/15 8:04,0.37,0.41,0.23,15.1,16.7,72.5,6.36,,Y,T,R,N,U,Y,Y,7/2/15 8:30,0.37,0.37,0.44,16.1,69.9,6.45,,20,0.3,7/2/15 8:46,0.35,0.36,0.38,16.5,72.7,6.44,,7/2/15 14:43,7/2/15,6:39,0.34,0.40,0.23,23.1,18.9,72.7,6.71,,7/3/15 8:30,7/3/15,24:26:00,0.28,0.31,0.04,17.7,17.7,72.2,6.90,,N,N,Y,30%,P,R,N,U,Y,Y,I,N
28,7/2/15,A,Q7V5,W1,7/2/15 9:20,0.33,0.35,0.40,16.2,16.2,23.4,6.49,,Y,T,R,Y,U,Y,Y,7/2/15 9:30,0.39,0.36,0.70,17.3,71.1,6.29,,840,14.0,7/2/15 9:53,0.31,0.35,0.21,17.8,70.3,6.40,,7/2/15 14:15,7/2/15,4:55,0.27,0.32,0.03,18.4,18.2,73.0,6.32,,7/3/15 7:59,7/3/15,22:39:00,0.06,0.10,0.14,15.5,17.2,71.3,6.86,,N,N,Y,15%,P,R,N,D,Y,Y,I,N
29,7/2/15,A,Q7V5,W1,7/2/15 10:18,0.35,0.41,0.02,16.7,18.1,70.9,6.42,,Y,T,R,Y,U,Y,Y,7/2/15 10:35,0.37,0.40,0.01,18.1,74.2,6.35,,840,15.0,7/2/15 10:50,0.36,0.41,0.01,19.4,72.8,6.38,,7/2/15 14:22,7/2/15,4:04,0.28,0.36,0.18,18.2,19.2,72.6,6.58,,7/3/15 7:50,7/3/15,21:32:00,0.16,0.19,0.29,15.5,17.4,71.3,7.01,,N,N,Y,15%,P,R,N,U,Y,Y,I,N
30,7/2/15,B,Q5V3,W28,7/2/15 8:04,0.36,0.42,0.31,16.5,16.7,68.7,6.53,,Y,T,R,N,D,Y,Y,7/2/15 8:20,0.40,0.41,0.01,16.5,67.6,6.62,,20,0.3,7/2/15 8:28,0.37,0.44,0.02,16.3,67.1,6.61,,7/2/15 15:03,7/2/15,6:59,0.31,0.46,0.35,23.7,18.9,67.5,6.71,,7/3/15 7:56,7/3/15,23:52:00,0.21,0.22,0.67,16.6,16.6,66.5,6.71,,N,N,Y,60%,P,R,N,U,Y,Y,I,N
31,7/2/15,A,Q7V5,W1,7/2/15 9:21,0.23,0.34,0.03,15.2,17.2,67.4,6.37,,Y,T,R,Y,U,Y,Y,7/2/15 9:31,0.20,0.23,0.01,17.7,65.6,6.27,,1000,16.0,7/2/15 9:56,0.37,0.38,0.01,18.3,65.3,6.39,,7/2/15 14:38,7/2/15,5:17,0.33,0.37,0.01,22.6,19.9,66.5,6.40,,7/3/15 8:30,7/3/15,23:09:00,0.21,0.27,0.38,18.5,17.6,66.9,6.63,,N,N,Y,20%,P,R,N,U,Y,Y,I,N
32,7/2/15,A,Q7V5,W1,7/2/15 10:28,0.34,0.40,0.01,21.1,18.7,66.0,6.37,,N,T,R,Y,U,Y,Y,7/2/15 10:40,0.38,0.41,0.01,18.9,67.0,6.38,,680,11.0,7/2/15 10:56,0.35,0.39,0.01,19.2,66.3,6.38,,7/2/15 14:07,7/2/15,3:39,0.23,0.41,0.01,18.6,18.5,67.4,6.39,,,7/3/15,,,,,,,,,,,,,,,,,,,,,
33,7/3/15,B,Q5V3,W28,7/3/15 9:20,0.33,0.39,0.10,20.0,19.2,81.2,6.54,,Y,T,R,N,U,Y,Y,7/3/15 9:33,0.37,0.44,0.06,18.4,79.2,6.65,,20,0.1,7/3/15 9:45,0.36,0.42,0.06,18.4,82.0,6.57,,7/3/15 14:36,7/3/15,5:16,0.28,0.34,0.01,20.0,18.5,80.3,6.91,,7/3/15 15:09,7/3/15,5:49:00,0.26,0.31,0.27,19.9,19.0,82.2,6.78,,N,N,Y,50%,P,R,Y,U,Y,Y,I,N
34,7/3/15,B,Q5V3,W28,7/3/15 9:56,0.36,0.41,0.01,19.6,19.3,70.2,6.62,,Y,T,R,N,U,Y,Y,7/3/15 10:02,0.33,0.40,0.01,18.6,79.7,6.70,,20,0.3,7/3/15 10:10,0.27,0.37,0.01,19.0,78.9,6.76,,7/3/15 14:13,7/3/15,4:17,0.26,0.33,0.30,18.9,18.7,81.4,6.87,,7/3/15 14:55,7/3/15,4:59:00,0.29,0.37,0.02,18.3,19.1,80.3,6.76,,N,N,Y,70%,P,R,Y,U,Y,Y,I,N
35,7/3/15,B,Q5V3,W28,7/3/15 10:21,0.33,0.41,0.01,17.2,18.3,80.5,6.72,,Y,T,R,N,U,Y,Y,7/3/15 10:30,0.41,0.45,0.01,18.3,79.8,6.69,,50,0.8,7/3/15 10:39,0.37,0.45,0.01,17.8,79.8,6.58,,7/3/15 14:24,7/3/15,4:03,0.36,0.45,0.01,21.0,19.6,81.0,6.80,,7/3/15 15:10,7/3/15,4:49:00,0.36,0.41,0.21,19.6,19.3,79.8,6.71,,N,N,Y,60%,P,R,Y,U,Y,Y,I,N
36,7/3/15,B,Q5V3,W28,7/3/15 10:21,0.41,0.46,0.01,17.5,18.0,78.2,6.59,,Y,T,R,Y,C,Y,White,7/3/15 10:58,0.35,0.40,0.06,18.1,80.5,6.67,,0,0.0,7/3/15 11:02,0.33,0.42,0.01,18.0,81.0,6.60,,7/3/15 14:49,7/3/15,4:28,0.32,0.32,0.14,19.5,19.0,78.2,6.73,,7/3/15 15:19,7/3/15,4:58:00,0.26,0.31,0.07,18.7,18.8,81.4,6.73,,N,N,Y,40%,P,R,Y,U,Y,White,I,N
